twt,poi0,poi1,poi2,poi3,poi4,poi5,poi6,poi7,poi8,poi9,poi10,poi11,poi12,poi13,poi14,poi15,poi16,poi17,poi18,poi19,poi20,poi21,poi22,poi23,poi24,poi25,poi26,poi27,poi28,poi29,poi30,poi31,poi32,poi33,poi34,poi35,poi36,poi37,poi38,poi39,poi40,poi41,poi42,poi43,poi44,poi45,poi46,poi47,poi48,poi49,poi50,poi51,poi52,poi53,poi54,poi55,poi56,poi57,poi58,poi59,poi60,poi61,poi62,poi63,poi64,poi65,poi66,poi67,poi68,poi69,poi70,poi71,poi72,poi73,poi74,poi75,poi76,poi77,poi78,poi79,poi80,poi81,poi82,poi83,poi84,poi85,poi86,poi87,poi88,poi89,poi90,poi91,poi92,poi93,poi94,poi95,poi96,poi97,poi98,poi99,poi100,poi101,poi102,poi103,poi104,poi105,poi106,poi107,poi108,poi109,poi110,poi111,poi112,poi113,poi114,poi115,poi116,poi117,poi118,poi119,poi120,poi121,poi122,poi123
0,0.0002501511416,0.0002475711682,0.0003193259181,0.0003193259181,0.0002246480581,0.0002085203887,0.0001871051936,0.0001784963679,0.0001784963679,0.0001703477901,0.0001703477901,0.0001613510831,0.0001873059082,0.0001231332426,0.0001203930403,8.9991005e-05,8.758541662e-05,8.487235252e-05,9.758022836e-05,0.0001139666419,0.0001415698983,0.0001416755258,0.0001416755258,0.0001267325861,0.0001267325861,0.0001135913239,0.0001135675865,0.0001305929763,0.0001261978768,0.0001294037502,0.0001294037502,0.0001355446875,0.0001355446875,0.0001355446875,0.0001203018589,0.0001245414503,0.000114079965,0.0001187527378,0.0001051522559,0.0001051522559,9.023061284e-05,9.023061284e-05,9.548992239e-05,0.0001029719715,0.0001561013487,0.0001391993865,0.0001391993865,0.0001391993865,0.0001570527529,0.0001570527529,0.0001518963982,0.0001149594464,0.0001524202817,0.0001485194807,0.0001485194807,0.0001485194807,0.0001219493497,0.0001219493497,0.0001338182192,0.000132495712,0.0001468174596,0.0001197219535,0.0001197219535,0.0001271094952,0.0001271094952,0.0001271094952,9.525495261e-05,9.287408466e-05,8.736036398e-05,9.312938346e-05,9.312938346e-05,9.815220983e-05,9.815220983e-05,9.815220983e-05,8.733334835e-05,8.289722609e-05,9.198153566e-05,9.643290832e-05,9.643290832e-05,5.860931924e-05,5.860931924e-05,8.084905858e-05,0.0001087402634,8.483604324e-05,8.483604324e-05,8.483604324e-05,7.0621958e-05,7.0621958e-05,6.355817459e-05,6.32217052e-05,6.831173232e-05,6.644327368e-05,2.472118285e-05,8.255940338e-05,7.031678979e-05,7.807331713e-05,4.644958972e-05,4.644958972e-05,0.0001027645703,0.0001027645703,0.0001027645703,9.843069711e-05,9.843069711e-05,0.0001051880754,0.0001055519315,0.0001278702111,0.0001571198954,0.0001802371553,0.0001802371553,0.0001765722263,0.0001765722263,0.0001887762483,0.0001887762483,0.0001887762483,0.0001887762483,0.0001910342992,0.0002156836087,0.0001599751448,0.0002408989858,0.0002286006444,0.0002330281646,0.000220492823,0.0002136458643,0.0002605082991
0.024,0.0001703512298,0.0001693091927,0.0002204010234,0.0002204010234,0.0001509596623,0.0001439687912,0.0001354990382,0.0001313212852,0.0001313212852,0.0001288525236,0.0001288525236,0.0001234051015,0.000116547395,7.67548554e-05,7.732984805e-05,5.356058364e-05,5.137385597e-05,7.055592862e-05,0.0001040966017,0.0001333673135,0.0001500188118,0.000150082531,0.000150082531,0.0001356904104,0.0001356904104,0.0001315055469,0.0001237990987,0.0001462315558,0.0001243809418,0.0001211730414,0.0001211730414,0.0001431528362,0.0001431528362,0.0001431528362,0.0001189685533,0.0001286055077,0.0001490838622,0.000132026049,0.0001462237997,0.0001462237997,9.891325317e-05,9.891325317e-05,0.000117096577,0.0001053228334,0.0001378579036,0.000123995269,0.000123995269,0.000123995269,0.0001445803791,0.0001445803791,0.0001309336076,0.000101140271,0.0001182606065,0.0001188386304,0.0001188386304,0.0001188386304,9.855194367e-05,9.855194367e-05,0.0001150207681,0.0001191303236,0.0001296960108,0.0001050899009,0.0001050899009,0.0001212790085,0.0001212790085,0.0001212790085,9.282360406e-05,8.045847062e-05,9.437419067e-05,9.783435962e-05,9.783435962e-05,9.927404608e-05,9.927404608e-05,9.927404608e-05,7.651740452e-05,8.209830412e-05,8.907871961e-05,7.819490565e-05,7.819490565e-05,7.426433149e-05,7.426433149e-05,9.85453662e-05,0.000103923172,8.552593499e-05,8.552593499e-05,8.552593499e-05,7.083021046e-05,7.083021046e-05,6.541422044e-05,6.210455467e-05,7.721190195e-05,7.805876521e-05,3.653189924e-05,8.669434465e-05,8.578939014e-05,8.260578761e-05,5.442467591e-05,5.442467591e-05,0.0001034282832,0.0001034282832,0.0001034282832,9.648628475e-05,9.648628475e-05,0.0001181856423,0.0001008726977,0.0001299190189,0.0001567699655,0.0001699557615,0.0001699557615,0.0001501383376,0.0001501383376,0.0001513582683,0.0001513582683,0.0001513582683,0.0001513582683,0.0001499808488,0.0001696708395,0.0001189476486,0.0001654981041,0.0001567576785,0.0001583227462,0.0001520604529,0.000151440734,0.0001756559213
0.048,-9.852469778e-05,-9.634351958e-05,-8.941825217e-05,-8.941825217e-05,-8.660936874e-05,-7.561845268e-05,-5.908636376e-05,-5.606222476e-05,-5.606222476e-05,-5.32641825e-05,-5.32641825e-05,-4.228392208e-05,-7.382514013e-05,-6.3592066e-05,-6.036498356e-05,-6.114462652e-05,-5.872872862e-05,-2.499938588e-05,1.71120931e-05,4.165479186e-05,3.749762525e-05,3.74817173e-05,3.74817173e-05,3.295791612e-05,3.295791612e-05,3.841152653e-05,1.116832311e-05,3.316198854e-05,-2.064626491e-06,-7.290996564e-06,-7.290996564e-06,3.04851128e-05,3.04851128e-05,3.04851128e-05,1.392281814e-06,1.372883365e-05,5.912288179e-05,3.895360351e-05,7.307322085e-05,7.307322085e-05,9.962894183e-06,9.962894183e-06,4.082202577e-05,5.092117135e-06,-6.515207588e-06,-2.139329808e-05,-2.139329808e-05,-2.139329808e-05,-6.564904993e-07,-6.564904993e-07,-2.090955059e-05,-3.889457003e-05,-4.834687934e-05,-3.027013008e-05,-3.027013008e-05,-3.027013008e-05,-3.538964302e-05,-3.538964302e-05,-1.657033317e-05,-1.329565748e-05,-2.421362751e-06,-1.463258559e-05,-1.463258559e-05,5.3143267e-06,5.3143267e-06,5.3143267e-06,-3.935736913e-06,-1.885387974e-05,1.154436177e-05,1.056402834e-05,1.056402834e-05,1.049167531e-05,1.049167531e-05,1.049167531e-05,-1.334115768e-05,2.935881639e-06,6.947969723e-06,-2.150708315e-05,-2.150708315e-05,1.047205478e-05,1.047205478e-05,3.395534804e-05,1.462842192e-05,3.863534403e-06,3.863534403e-06,3.863534403e-06,-1.298276629e-06,-1.298276629e-06,-1.685494226e-06,-6.458927601e-06,6.359888175e-06,1.115238319e-05,-2.740063974e-05,6.778906936e-06,1.766976311e-05,5.766668437e-06,-1.313682151e-05,-1.313682151e-05,8.727192835e-06,8.727192835e-06,8.727192835e-06,5.489981049e-06,5.489981049e-06,2.87850653e-05,-5.915255315e-06,1.109857203e-05,7.339023341e-06,4.037874987e-06,4.037874987e-06,-2.442619189e-05,-2.442619189e-05,-4.394022471e-05,-4.394022471e-05,-4.394022471e-05,-4.394022471e-05,-4.475827692e-05,-4.113989723e-05,-7.941505696e-05,-9.122000483e-05,-8.952889402e-05,-9.220252464e-05,-8.977478869e-05,-8.346308459e-05,-7.800140156e-05
0.072,-0.0004282196685,-0.000425441991,-0.0004653117794,-0.0004653117794,-0.0003759645042,-0.0003454511461,-0.0003046129423,-0.0002953651419,-0.0002953651419,-0.0002902344277,-0.0002902344277,-0.0002565237519,-0.0002957491379,-0.0002276661544,-0.0002238298595,-0.0001961714705,-0.0001900751813,-0.000156584856,-0.0001288795766,-0.0001262590959,-0.0001497295903,-0.0001498194033,-0.0001498194033,-0.0001439848711,-0.0001439848711,-0.0001328015669,-0.0001818501952,-0.0001660588605,-0.0002032981642,-0.0002061782725,-0.0002061782725,-0.0001578793162,-0.0001578793162,-0.0001578793162,-0.0001861088094,-0.0001749889649,-0.0001240877027,-0.0001260956924,-9.307669097e-05,-9.307669097e-05,-0.0001468266273,-0.0001468266273,-0.0001037077454,-0.0001574524649,-0.0002138275449,-0.0002346526162,-0.0002346526162,-0.0002346526162,-0.0002170688822,-0.0002170688822,-0.00024035557,-0.0002487846359,-0.00027042281,-0.0002293494472,-0.0002293494472,-0.0002293494472,-0.0002183468023,-0.0002183468023,-0.000205426215,-0.0002039909014,-0.0001894167217,-0.00018455791,-0.00018455791,-0.0001685243478,-0.0001685243478,-0.0001685243478,-0.0001534595503,-0.0001635562221,-0.0001278856071,-0.0001327629143,-0.0001327629143,-0.0001312605309,-0.0001312605309,-0.0001312605309,-0.0001437549072,-0.0001199886246,-0.000118696953,-0.0001590459578,-0.0001590459578,-0.0001042635558,-0.0001042635558,-8.60732689e-05,-0.0001281447476,-0.000125386985,-0.000125386985,-0.000125386985,-0.0001164224013,-0.0001164224013,-0.0001104660114,-0.0001170884498,-0.0001190829425,-0.000110385161,-0.0001445327944,-0.0001270396606,-0.0001079005888,-0.0001246290922,-0.0001284065365,-0.0001284065365,-0.0001446032111,-0.0001446032111,-0.0001446032111,-0.0001424178918,-0.0001424178918,-0.0001271867513,-0.0001733347744,-0.0001819648023,-0.000233609695,-0.0002510753111,-0.0002510753111,-0.0002774913737,-0.0002774913737,-0.0003155427985,-0.0003155427985,-0.0003155427985,-0.0003155427985,-0.0003055496645,-0.0003211981877,-0.0003426589151,-0.000408470548,-0.000393430165,-0.0004010137305,-0.0003899733818,-0.0003769820323,-0.000381833117
0.096,-0.0006169097313,-0.0006183643028,-0.0006858775159,-0.0006858775159,-0.0005421494134,-0.0005016953801,-0.0004533346801,-0.0004421647172,-0.0004421647172,-0.00043826201,-0.00043826201,-0.0003887729836,-0.0004160728131,-0.000312406366,-0.000310653316,-0.0002656565169,-0.0002625366906,-0.0002443102985,-0.0002505494257,-0.0002758789051,-0.0003078381105,-0.0003079604066,-0.0003079604066,-0.0002994672686,-0.0002994672686,-0.0002888222607,-0.0003476690678,-0.0003405920288,-0.0003668090204,-0.0003662612871,-0.0003662612871,-0.0003172833531,-0.0003172833531,-0.0003172833531,-0.0003388960816,-0.0003323723339,-0.0002989859495,-0.0002742242941,-0.0002657258301,-0.0002657258301,-0.0002886328148,-0.0002886328148,-0.0002364206011,-0.000289681484,-0.0003632312582,-0.0003912951506,-0.0003912951506,-0.0003912951506,-0.0003803451546,-0.0003803451546,-0.0004023988149,-0.0004083724343,-0.000414029113,-0.0003584619844,-0.0003584619844,-0.0003584619844,-0.0003400399873,-0.0003400399873,-0.0003428953642,-0.0003391761275,-0.0003218869097,-0.0003027031489,-0.0003027031489,-0.0002979850688,-0.0002979850688,-0.0002979850688,-0.0002679668542,-0.0002706525556,-0.0002450969187,-0.0002516442328,-0.0002516442328,-0.0002460153773,-0.0002460153773,-0.0002460153773,-0.0002397148201,-0.0002146420156,-0.0002149832144,-0.0002548557532,-0.0002548557532,-0.0001997757354,-0.0001997757354,-0.0001915356406,-0.0002496764064,-0.0002280329936,-0.0002280329936,-0.0002280329936,-0.0002085929736,-0.0002085929736,-0.0001988736331,-0.0002086379245,-0.0002303527581,-0.000218788904,-0.000246376585,-0.0002406810818,-0.000218636269,-0.0002370471484,-0.00022166298,-0.00022166298,-0.0002710219414,-0.0002710219414,-0.0002710219414,-0.0002673747076,-0.0002673747076,-0.0002613641846,-0.0003060708696,-0.000339997554,-0.0004310310178,-0.000452301756,-0.000452301756,-0.0004666445893,-0.0004666445893,-0.0005108209443,-0.0005108209443,-0.0005108209443,-0.0005108209443,-0.0004788659736,-0.0005059738195,-0.0005055982458,-0.0005940136214,-0.0005697774012,-0.0005810509769,-0.0005646198753,-0.0005463262205,-0.0005511403433
0.12,-0.0005202536333,-0.0005286790859,-0.0005919201067,-0.0005919201067,-0.0004610216711,-0.0004281135334,-0.0003980067559,-0.0003894613765,-0.0003894613765,-0.0003887168714,-0.0003887168714,-0.0003421517904,-0.0003425398318,-0.0002513004292,-0.0002536761219,-0.0002147689311,-0.0002230128885,-0.0002272590298,-0.000268460062,-0.0003106583899,-0.0003374932479,-0.000337595935,-0.000337595935,-0.0003371933999,-0.0003371933999,-0.0003321062602,-0.0003784013674,-0.000378075114,-0.0003866467196,-0.0003857008996,-0.0003857008996,-0.0003477906575,-0.0003477906575,-0.0003477906575,-0.000359008833,-0.0003587069216,-0.0003575490264,-0.0003166046517,-0.0003442277666,-0.0003442277666,-0.0003292478796,-0.0003292478796,-0.0002760455536,-0.0003055235138,-0.0003538703022,-0.0003839282435,-0.0003839282435,-0.0003839282435,-0.000381279795,-0.000381279795,-0.0003981685149,-0.0004092883901,-0.0003741868422,-0.0003252454044,-0.0003252454044,-0.0003252454044,-0.0003128231619,-0.0003128231619,-0.0003352421045,-0.000324055145,-0.0003104767529,-0.0002858041844,-0.0002858041844,-0.0002954891534,-0.0002954891534,-0.0002954891534,-0.0002694493451,-0.000267928117,-0.0002644179622,-0.0002702657657,-0.0002702657657,-0.000259700435,-0.000259700435,-0.000259700435,-0.0002366921253,-0.0002171845263,-0.0002175722911,-0.0002426497376,-0.0002426497376,-0.0002085615852,-0.0002085615852,-0.0002125721658,-0.00027659841,-0.000236425185,-0.000236425185,-0.000236425185,-0.0002170368243,-0.0002170368243,-0.0002093119401,-0.0002217996371,-0.0002565370814,-0.0002434153575,-0.0002604424953,-0.0002609271614,-0.0002406191488,-0.0002596743579,-0.0002249155659,-0.0002249155659,-0.0002887460287,-0.0002887460287,-0.0002887460287,-0.000290263386,-0.000290263386,-0.000287514471,-0.0003147479438,-0.0003581115161,-0.0004532600869,-0.0004660707491,-0.0004660707491,-0.0004621324188,-0.0004621324188,-0.000502284558,-0.000502284558,-0.000502284558,-0.000502284558,-0.0004429349638,-0.0004668065815,-0.0004388679386,-0.0005085131697,-0.0004851028699,-0.0004968000966,-0.0004800923767,-0.0004588769807,-0.0004550460144
0.144,-0.0001695621418,-0.0001822812452,-0.0002112875954,-0.0002112875954,-0.0001608896418,-0.0001509997965,-0.0001587119768,-0.0001537363569,-0.0001537363569,-0.0001551192981,-0.0001551192981,-0.000131372115,-0.0001021965363,-7.241374988e-05,-7.907011904e-05,-6.890038613e-05,-9.232852608e-05,-0.0001139398641,-0.0001673432714,-0.000201899471,-0.0002142190698,-0.0002142662124,-0.0002142662124,-0.0002289584663,-0.0002289584663,-0.0002304257806,-0.0002433131498,-0.0002449541935,-0.0002410823311,-0.0002446811995,-0.0002446811995,-0.0002275681036,-0.0002275681036,-0.0002275681036,-0.0002278575953,-0.0002333808914,-0.0002631111129,-0.0002286349772,-0.0002821824164,-0.0002821824164,-0.0002402604732,-0.0002402604732,-0.0001987121359,-0.0001907059777,-0.0001832677226,-0.0002049039322,-0.0002049039322,-0.0002049039322,-0.0002081171697,-0.0002081171697,-0.0002168430656,-0.0002364554093,-0.0001578761003,-0.0001389762183,-0.0001389762183,-0.0001389762183,-0.0001413591381,-0.0001413591381,-0.0001748769719,-0.0001551994501,-0.0001541454549,-0.0001347283687,-0.0001347283687,-0.000154733294,-0.000154733294,-0.000154733294,-0.0001496757468,-0.0001492575975,-0.0001689055935,-0.0001725044713,-0.0001725044713,-0.000158173978,-0.000158173978,-0.000158173978,-0.0001299560245,-0.0001207583191,-0.0001193906792,-0.0001197128367,-0.0001197128367,-0.0001166325237,-0.0001166325237,-0.0001309407526,-0.0001901094947,-0.0001398448658,-0.0001398448658,-0.0001398448658,-0.0001326739293,-0.0001326739293,-0.0001325160702,-0.0001436089515,-0.0001757324644,-0.0001620877301,-0.0001635192457,-0.0001687085896,-0.000152765715,-0.0001729815995,-0.000123609585,-0.000123609585,-0.0001805039501,-0.0001805039501,-0.0001805039501,-0.0001914447203,-0.0001914447203,-0.0001852283895,-0.0001846092928,-0.000214037922,-0.0002672760456,-0.0002654535638,-0.0002654535638,-0.0002423166006,-0.0002423166006,-0.0002840195666,-0.0002840195666,-0.0002840195666,-0.0002840195666,-0.0002024542127,-0.0002110518945,-0.0001547746473,-0.0001783920602,-0.000166264734,-0.0001743785842,-0.0001616270521,-0.0001403731003,-0.0001245826425
0.168,0.0002125211727,0.000203141987,0.0002227421501,0.0002227421501,0.000165080055,0.0001496076875,0.0001052386942,0.0001110330413,0.0001110330413,0.0001110590019,0.0001110590019,0.0001047542537,0.000149186395,0.000100396981,9.167791005e-05,6.604281456e-05,3.270594243e-05,9.103638331e-06,-2.036747806e-05,-2.223349293e-05,-1.863564981e-05,-1.862188219e-05,-1.862188219e-05,-4.687236651e-05,-4.687236651e-05,-5.164877104e-05,-2.530235321e-05,-2.489813232e-05,-2.388462925e-05,-3.505998757e-05,-3.505998757e-05,-4.284269016e-05,-4.284269016e-05,-4.284269016e-05,-3.477169088e-05,-4.423770477e-05,-8.807012637e-05,-7.847923553e-05,-0.0001273652451,-0.0001273652451,-8.164803148e-05,-8.164803148e-05,-6.494704576e-05,-2.7112319e-05,3.136823216e-05,2.799752656e-05,2.799752656e-05,2.799752656e-05,2.592134297e-05,2.592134297e-05,2.718204451e-05,2.924506816e-06,9.727815632e-05,7.476427709e-05,7.476427709e-05,7.476427709e-05,6.114009739e-05,6.114009739e-05,3.657343041e-05,5.890156172e-05,4.224992881e-05,4.868107862e-05,4.868107862e-05,2.896799742e-05,2.896799742e-05,2.896799742e-05,9.27957808e-06,7.053372428e-06,-2.361920815e-05,-2.42225542e-05,-2.42225542e-05,-8.532371794e-06,-8.532371794e-06,-8.532371794e-06,9.312871953e-06,7.833531527e-06,1.264025468e-05,3.768348688e-05,3.768348688e-05,1.527237873e-05,1.527237873e-05,-3.444237564e-06,-4.985862688e-05,-3.438625527e-06,-3.438625527e-06,-3.438625527e-06,-1.570550012e-05,-1.570550012e-05,-2.438443335e-05,-2.714613765e-05,-4.047272887e-05,-2.706295163e-05,-9.303141269e-06,-2.373374991e-05,-1.313984103e-05,-3.460685548e-05,2.020791908e-05,2.020791908e-05,-1.950084334e-05,-1.950084334e-05,-1.950084334e-05,-3.817239485e-05,-3.817239485e-05,-2.76499195e-05,-3.198752438e-06,-1.791960358e-06,1.78449136e-05,2.937390309e-05,2.937390309e-05,6.758378004e-05,6.758378004e-05,1.874824534e-06,1.874824534e-06,1.874824534e-06,1.874824534e-06,8.92898623e-05,9.63575499e-05,0.0001693612921,0.0001878683123,0.0001844508924,0.0001825212143,0.0001907054033,0.0002094121592,0.0002331874421
0.192,0.000332070542,0.0003340230651,0.0003946248908,0.0003946248908,0.0002635415294,0.0002379919606,0.0001823181956,0.0001963394316,0.0001963394316,0.000201657429,0.000201657429,0.0001783751941,0.0002105032181,0.0001164531059,0.0001095622391,6.354033667e-05,3.394858504e-05,2.581941315e-05,4.784515801e-05,8.856878412e-05,0.0001023589239,0.0001024116937,0.0001024116937,7.08358275e-05,7.08358275e-05,6.775857167e-05,0.0001175218896,0.0001200432089,0.0001020942639,8.510414773e-05,8.510414773e-05,5.552073708e-05,5.552073708e-05,5.552073708e-05,6.787961882e-05,5.695126111e-05,2.250223224e-05,7.234743407e-06,-6.566978072e-07,-6.566978072e-07,2.575077997e-05,2.575077997e-05,1.023933055e-05,4.947793059e-05,0.0001157314473,0.0001328767976,0.0001328767976,0.0001328767976,0.0001405704097,0.0001405704097,0.0001521345257,0.0001337791473,0.0001953791652,0.0001416662126,0.0001416662126,0.0001416662126,0.0001328876097,0.0001328876097,0.0001395792788,0.0001538979122,0.0001233836956,0.0001153464982,0.0001153464982,0.0001083591487,0.0001083591487,0.0001083591487,7.695616659e-05,7.782555622e-05,5.636714923e-05,5.917514136e-05,5.917514136e-05,7.373883273e-05,7.373883273e-05,7.373883273e-05,6.967656373e-05,6.220900104e-05,7.147435826e-05,0.0001119677909,0.0001119677909,8.141923172e-05,8.141923172e-05,6.527468213e-05,3.470810771e-05,6.431833754e-05,6.431833754e-05,6.431833754e-05,3.47274472e-05,3.47274472e-05,2.226154902e-05,3.349824328e-05,4.610671749e-05,5.842308019e-05,9.481052984e-05,6.315515202e-05,6.77249991e-05,4.726190673e-05,9.632887668e-05,9.632887668e-05,6.558220048e-05,6.558220048e-05,6.558220048e-05,4.636266021e-05,4.636266021e-05,5.418750152e-05,8.265912766e-05,0.0001135504353,0.0002009945892,0.0002075750817,0.0002075750817,0.0002529738995,0.0002529738995,0.0001411404955,0.0001411404955,0.0001411404955,0.0001411404955,0.0002113300906,0.0002209951662,0.0002850229721,0.0003118862737,0.0002983618616,0.0003021866208,0.0003096486262,0.0003243141691,0.0003455054539
0.216,2.113356289e-05,3.673595642e-05,0.0001123705006,0.0001123705006,-8.707556844e-06,-1.839334982e-05,-4.822165647e-05,-2.122813385e-05,-2.122813385e-05,-9.167855751e-06,-9.167855751e-06,-2.154661343e-05,-2.857862091e-05,-9.75511939e-05,-9.871561437e-05,-0.0001340666521,-0.0001443172077,-0.0001276353497,-5.564745746e-05,1.338126367e-05,2.866447267e-05,2.87229559e-05,2.87229559e-05,7.979692782e-06,7.979692782e-06,9.758297171e-06,5.152288831e-05,5.184783731e-05,1.005957593e-05,-6.354678135e-06,-6.354678135e-06,-4.893671939e-05,-4.893671939e-05,-4.893671939e-05,-3.561285288e-05,-4.574160936e-05,-5.298420365e-05,-7.303099119e-05,-1.95796365e-05,-1.95796365e-05,-2.344359928e-05,-2.344359928e-05,-6.719081284e-05,-6.008401397e-05,-4.451698987e-05,-1.571052599e-05,-1.571052599e-05,-1.571052599e-05,6.421410035e-06,6.421410035e-06,2.641014908e-05,2.710292756e-05,1.177898412e-05,-4.396636723e-05,-4.396636723e-05,-4.396636723e-05,-2.847483483e-05,-2.847483483e-05,1.994705235e-05,1.678714943e-05,-1.401541704e-05,-3.167424074e-05,-3.167424074e-05,-1.843025711e-05,-1.843025711e-05,-1.843025711e-05,-3.918868606e-05,-2.449306703e-05,-1.949334182e-05,-1.312676795e-05,-1.312676795e-05,-1.455225743e-06,-1.455225743e-06,-1.455225743e-06,-2.820575901e-05,-3.340854892e-05,-2.001890971e-05,1.90540577e-05,1.90540577e-05,3.049396824e-08,3.049396824e-08,-9.387585123e-06,-2.506061355e-05,-1.770885501e-05,-1.770885501e-05,-1.770885501e-05,-5.360884825e-05,-5.360884825e-05,-6.049620788e-05,-3.586409002e-05,-4.28608746e-06,5.695664186e-06,5.475597209e-05,3.277324083e-07,-2.437927833e-06,-1.697323023e-05,1.651510684e-05,1.651510684e-05,-2.637087528e-05,-2.637087528e-05,-2.637087528e-05,-3.791975905e-05,-3.791975905e-05,-4.295469989e-05,-3.60913582e-05,3.241136028e-06,0.0001150786338,9.987418889e-05,9.987418889e-05,0.000142347475,0.000142347475,-1.028483439e-05,-1.028483439e-05,-1.028483439e-05,-1.028483439e-05,2.085070683e-05,1.454691853e-05,3.894656508e-05,3.131494906e-05,2.034569442e-05,2.657764866e-05,3.959424183e-05,5.017267176e-05,5.513470023e-05
0.24,-0.0006136001322,-0.0005909531458,-0.0005328465486,-0.0005328465486,-0.0005575909163,-0.0005309508415,-0.0005088793114,-0.000472486252,-0.000472486252,-0.0004564618284,-0.0004564618284,-0.0004326552444,-0.0004864476796,-0.0004656696401,-0.000459067234,-0.0004552206362,-0.0004374965793,-0.0004012380349,-0.0003146791375,-0.0002512625942,-0.0002415429614,-0.0002415057679,-0.0002415057679,-0.0002407355933,-0.0002407355933,-0.0002352091766,-0.0002312840289,-0.0002389068395,-0.0002913175201,-0.0002995733521,-0.0002995733521,-0.0003446860355,-0.0003446860355,-0.0003446860355,-0.0003313469777,-0.0003391732793,-0.0003165706585,-0.0003145151131,-0.0002120110876,-0.0002120110876,-0.0002397767385,-0.0002397767385,-0.0002954865049,-0.0003363332362,-0.0004065989924,-0.0003827110922,-0.0003827110922,-0.0003827110922,-0.0003505235363,-0.0003505235363,-0.0003268108994,-0.0002975255484,-0.0004017350147,-0.000426734041,-0.000426734041,-0.000426734041,-0.0003780880943,-0.0003780880943,-0.0002998050186,-0.0003222461673,-0.0003357679816,-0.0003547371016,-0.0003547371016,-0.0003236828779,-0.0003236828779,-0.0003236828779,-0.0003167074756,-0.0002801092342,-0.0002456629882,-0.0002365188266,-0.0002365188266,-0.0002287238312,-0.0002287238312,-0.0002287238312,-0.000266790943,-0.0002614430559,-0.0002460386022,-0.0002251179394,-0.0002251179394,-0.0002208080696,-0.0002208080696,-0.0002246677032,-0.0002273968275,-0.0002378319768,-0.0002378319768,-0.0002378319768,-0.000265481096,-0.000265481096,-0.0002585492621,-0.0002295885788,-0.0001971381862,-0.0001909328421,-0.0001392929844,-0.0002136638504,-0.000225294003,-0.0002281238703,-0.000215734457,-0.000215734457,-0.0002880175307,-0.0002880175307,-0.0002880175307,-0.0002882796107,-0.0002882796107,-0.0003109639219,-0.0003396563698,-0.0003211393487,-0.0002461539407,-0.0002922793501,-0.0002922793501,-0.0002635808196,-0.0002635808196,-0.0004074742319,-0.0004074742319,-0.0004074742319,-0.0004074742319,-0.000427813303,-0.0004604062406,-0.0004938507546,-0.0005587252816,-0.000554944755,-0.0005505532904,-0.0005273718422,-0.0005198656581,-0.0005426570424
0.264,-0.001206273201,-0.001189682262,-0.0011737725,-0.0011737725,-0.001066804281,-0.001004790422,-0.0009355188231,-0.0009029651992,-0.0009029651992,-0.0008895063074,-0.0008895063074,-0.0008259780589,-0.000903700362,-0.0007811168325,-0.0007676823954,-0.0007178101664,-0.0006764993886,-0.0006389024692,-0.0005898947649,-0.0005679938477,-0.0005666125686,-0.000566607283,-0.000566607283,-0.0005433133338,-0.0005433133338,-0.0005389537903,-0.0005819268231,-0.0005999777932,-0.0006360777407,-0.0006321638939,-0.0006321638939,-0.0006722629187,-0.0006722629187,-0.0006722629187,-0.0006575074411,-0.0006625246728,-0.0006242942763,-0.0005862935795,-0.0004795538844,-0.0004795538844,-0.0005122475559,-0.0005122475559,-0.0005568086053,-0.000628657639,-0.0007671037456,-0.0007629214088,-0.0007629214088,-0.0007629214088,-0.0007347073406,-0.0007347073406,-0.0007143740077,-0.0006561715854,-0.0008155807154,-0.0007935015019,-0.0007935015019,-0.0007935015019,-0.0007229815237,-0.0007229815237,-0.0006479122094,-0.0006810266059,-0.0006655877805,-0.0006782371784,-0.0006782371784,-0.00064159662,-0.00064159662,-0.00064159662,-0.0006074915873,-0.0005518876133,-0.0005035475479,-0.0004940509098,-0.0004940509098,-0.0004907657858,-0.0004907657858,-0.0004907657858,-0.0005218331935,-0.0005020860699,-0.000488164631,-0.0004943888634,-0.0004943888634,-0.0004682155268,-0.0004682155268,-0.0004721629375,-0.0004616516235,-0.0004790456151,-0.0004790456151,-0.0004790456151,-0.0004879117187,-0.0004879117187,-0.0004657995596,-0.0004468413244,-0.0004328932846,-0.0004315141123,-0.00038818951,-0.0004689836933,-0.0004896062892,-0.0004771691456,-0.0004858495377,-0.0004858495377,-0.000583277666,-0.000583277666,-0.000583277666,-0.0005762003711,-0.0005762003711,-0.0006095816498,-0.0006621990469,-0.0006832386134,-0.0006902607274,-0.0007619210519,-0.0007619210519,-0.000756720663,-0.000756720663,-0.0008105500601,-0.0008105500601,-0.0008105500601,-0.0008105500601,-0.0008805298398,-0.0009308574796,-0.001012727581,-0.001117815092,-0.001096086807,-0.001095904811,-0.001063484051,-0.001058023889,-0.001113154809
